id,year,name,url
2008-cena,2008,Cena 25 Anni Mirandola 2 - Oratorio - 29 Novembre 2008,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Ev-LwAvTrt1PjD-u2AGCWGgBo5zNvU92gKL9gkon5zPYzA
2008-inaugurazione,2008,Inaugurazione Nuova Sede Di Clan - 31 Gennaio 2009,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Ekyg_SKf8ARCn-IV8Y-UI0kBwrLK9fOIaoBuWVFHs5XEOg
2008-partenze,2008,Partenze 2009,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EnOG6QqQ6_ZOkyXD-2vyRDMBViaIpyKnWQ4_6berPITX9Q
2008-promesse-eg,2008,Promesse EG - Cinquecerri Di Ligonchio (RE) - 8 Febbraio 2009,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EnC6seZyOJlDh10qMx1ZSNwB__xEtPEADsI42MWOa71geQ
2008-promesse-lc,2008,Promesse LC - Chiesa Del Gesù - 1° Marzo 2009,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Em2BybqgRA1AvSTes4dVmtIB7wCeCsLOvPCNGbWZ6hy97Q
2008-route-estiva,2008,Route Estiva Clan_Noviziato 2009 - Colico (LC),https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Espu5TKxrO9IneMz1qYiLZkBb1_lFruhwHW_D3wtAf-myg
2008-uscita,2008,Uscita Di Co.Ca. - San Felice S_P (MO) - 21_22 Marzo 2009,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Eg2xC4QGedVIq2CdavsTrQQBmSkFa0M9WVQ0oszDwCjT_A
2008-vvdbc,2008,Vacanze Di Branco Cerchio 2009 - Valdiporro (VR) - Robin Hood,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Esj2q0KwUWBNrHYoDvLOwlwBCm1maaUJwRyYvy0WRV7gAA
2009-attivita,2009,Attività Di Chiusura Di Gruppo - Up! - 30 Maggio 2010,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EsPiOYeO9h1NhMsL-dFR_3kBiwzqt7mQZ6ws4njQ2uADPw
2009-caccia,2009,Caccia Alle Tane Fredde - Branco Giungla Di Mezzo - 13 Marzo 2010,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/ErBPEZio5xVOiWO5_-omJp0Bl_4dqnoM1MO4r9LID3Zhog
2009-campo-estivo,2009,Campo Estivo EG 2010 - Caprese Michelangelo (AR) - Prince Of Persia,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Eu_A85AHQTFElsub0eg96I4BxvABuYD1me9R3JOsi7-tzw
2009-corsa,2009,Corsa Di Primavera Branchi - Canonica - 10 Ottobre 2010,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EsGhg9ha20RMm2YKGKKxN1UBo6ExGh4z0iKSte5PkQOGew
2009-lancio,2009,Lancio Vacanze Di Branco Cerchio,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EgEzSnHZ55JHgePCCPFdVb8ByJjFJZkfCzrnz_LCfmp9uQ
2009-partenze,2009,Partenze 2010,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EjpvBp3IGcdCmTkk8qpbZ_MBpK1K5pFZ7830BT2wAGtFog
2009-promesse,2009,Promesse Coccinelle - Via Posta - 27 Febbraio 2010,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EhrYFXAzitJKlAMHFGhkFHkBNon9EGh2-yvyEfP0a5_zFQ
